Postcode,Registrations,Year,DAIHAT,Volgren,CARBRI,HYUNDA,Smart,MAZDA,ELECTR,BMW,VMOTO,REN,TAILG,E-MAX,GEMILA,YUTONG,CLEANA,EVT,VMOTOA,KIA,MG,Ford,Gemila_BYD,NISSAN,Fonzar,JAG,Polestar,Harley-Davidson,VOLKSW,VESPA,SUR-RO,Victory,POLSTR,Mercedes-Benz,Sur Ron,IVECO,JAGUAR,Subaru,LIFAN,FONZAR,HOLDEN,VECTRI,KYBURZ,AUD,ERIDER,KWASKI,TESLA,MNI,Tesla,NIS,VOLVO,Lexus,Hyundai,Hino,KWSAKI,LEYLND,Emax,HUASHA,Jaguar,KTM,Zero,Honda,SUZUKI,BEVHYU,HYU,MITSU,SANYOU,CITRON,YAMAHA,BYD,LEX,DELRAN,MIT,TUKTUA,CLUBCR,Volvo,LANBAG,SURRON,FRETER,UBCO,BZOOMA,HARL,VICTOA,CTROEN,SUB,FORD,Carbri_Byd,Porsche,MER,ALFROM,Mini,Kia,Mitsubishi,HONDA,BROOKR,RNAULT,CHEV,TOY,UNEEDA,ECOSPI,BUSCOA,FOR,Bzooma,TOYOTA,Doohan,PORSC,Yutong,TUKTUK,JAGAS,Holden,Toyota,Audi,HINO,RAP,ZERO,ISUZU,SWAP,HON,Nissan,VOL,eGO,Erider,Vectri,HOL,SMART,Renault,DAIHAT_under_3,Volgren_under_3,CARBRI_under_3,HYUNDA_under_3,Smart_under_3,MAZDA_under_3,ELECTR_under_3,BMW_under_3,VMOTO_under_3,REN_under_3,TAILG_under_3,E-MAX_under_3,GEMILA_under_3,YUTONG_under_3,CLEANA_under_3,EVT_under_3,VMOTOA_under_3,KIA_under_3,MG_under_3,Ford_under_3,Gemila_BYD_under_3,NISSAN_under_3,Fonzar_under_3,JAG_under_3,Polestar_under_3,Harley-Davidson_under_3,VOLKSW_under_3,VESPA_under_3,SUR-RO_under_3,Victory_under_3,POLSTR_under_3,Mercedes-Benz_under_3,Sur Ron_under_3,IVECO_under_3,JAGUAR_under_3,Subaru_under_3,LIFAN_under_3,FONZAR_under_3,HOLDEN_under_3,VECTRI_under_3,KYBURZ_under_3,AUD_under_3,ERIDER_under_3,KWASKI_under_3,TESLA_under_3,MNI_under_3,Tesla_under_3,NIS_under_3,VOLVO_under_3,Lexus_under_3,Hyundai_under_3,Hino_under_3,KWSAKI_under_3,LEYLND_under_3,Emax_under_3,HUASHA_under_3,Jaguar_under_3,KTM_under_3,Zero_under_3,Honda_under_3,SUZUKI_under_3,BEVHYU_under_3,HYU_under_3,MITSU_under_3,SANYOU_under_3,CITRON_under_3,YAMAHA_under_3,BYD_under_3,LEX_under_3,DELRAN_under_3,MIT_under_3,TUKTUA_under_3,CLUBCR_under_3,Volvo_under_3,LANBAG_under_3,SURRON_under_3,FRETER_under_3,UBCO_under_3,BZOOMA_under_3,HARL_under_3,VICTOA_under_3,CTROEN_under_3,SUB_under_3,FORD_under_3,Carbri_Byd_under_3,Porsche_under_3,MER_under_3,ALFROM_under_3,Mini_under_3,Kia_under_3,Mitsubishi_under_3,HONDA_under_3,BROOKR_under_3,RNAULT_under_3,CHEV_under_3,TOY_under_3,UNEEDA_under_3,ECOSPI_under_3,BUSCOA_under_3,FOR_under_3,Bzooma_under_3,TOYOTA_under_3,Doohan_under_3,PORSC_under_3,Yutong_under_3,TUKTUK_under_3,JAGAS_under_3,Holden_under_3,Toyota_under_3,Audi_under_3,HINO_under_3,RAP_under_3,ZERO_under_3,ISUZU_under_3,SWAP_under_3,HON_under_3,Nissan_under_3,VOL_under_3,eGO_under_3,Erider_under_3,Vectri_under_3,HOL_under_3,SMART_under_3,Renault_under_3,PANEL VAN WITH WINDOWS & SEAT/S - 4WD,PANEL VAN WITH WINDOWS & SEAT/S,TIPPER,LOW LOADER TRAILER,REFRIGERATED VAN,STATION WAGON,PANEL VAN WITH SIDE WINDOWS,VAN,TABLE TOP WITHOUT FITTINGS,FORK-LIFT,MOBILE HOME,COUPE,SEDAN,BUS,UTILITY,FORWARD CONTROL PASSENGER VEHICLE,CONVERTIBLE,ANIMAL CARRIER TRAILER,TABLE TOP WITH FITTINGS,INDUSTRIAL PLANT,BOAT TRAILER,MOTOR CYCLE,THREE WHEEL CAR,AGRICULTURAL PLANT,PANEL VAN,PANEL VAN WITH WINDOWS & SEAT/S - 4WD_under_3,PANEL VAN WITH WINDOWS & SEAT/S_under_3,TIPPER_under_3,LOW LOADER TRAILER_under_3,REFRIGERATED VAN_under_3,STATION WAGON_under_3,PANEL VAN WITH SIDE WINDOWS_under_3,VAN_under_3,TABLE TOP WITHOUT FITTINGS_under_3,FORK-LIFT_under_3,MOBILE HOME_under_3,COUPE_under_3,SEDAN_under_3,BUS_under_3,UTILITY_under_3,FORWARD CONTROL PASSENGER VEHICLE_under_3,CONVERTIBLE_under_3,ANIMAL CARRIER TRAILER_under_3,TABLE TOP WITH FITTINGS_under_3,INDUSTRIAL PLANT_under_3,BOAT TRAILER_under_3,MOTOR CYCLE_under_3,THREE WHEEL CAR_under_3,AGRICULTURAL PLANT_under_3,PANEL VAN_under_3,0-254Kg,255-764Kg,765-975Kg,976-1154Kg,1155-1504Kg,1505-2504Kg,2505-3500Kg,3501-4500Kg,4500+Kg,BUSINESS - GENERAL,USED FOR CHARITABLE PURPOSES,ROAD CONSTRUCTION/MAINTENANCE CONCESSION - DECLARATION REQD,PRIMARY PRODUCER GENERAL,BUS/TOURIST VEHICLE USED FOR HIRE,HELD FOR RE-SALE BY A LICENSED MOTOR DEALER,CHARTER / AIRWAYS BUS USAGE - LET FOR HIRE,HIRE CAR,GENERAL PURPOSE PLANT,PENSIONER CONCESSION,RENTAL VEHICLE,TAXI,PRIMARY PRODUCER CONCESSION - DECLARATION REQUIRED,DEMONSTRATOR VEHICLE USED BY A LICENSED MOTOR DEALER,GENERAL PRIVATE,BUS OPERATED BY THE STATE TRANSIT AUTHORITY,BUSINESS - GENERAL_under_3,USED FOR CHARITABLE PURPOSES_under_3,ROAD CONSTRUCTION/MAINTENANCE CONCESSION - DECLARATION REQD_under_3,PRIMARY PRODUCER GENERAL_under_3,BUS/TOURIST VEHICLE USED FOR HIRE_under_3,HELD FOR RE-SALE BY A LICENSED MOTOR DEALER_under_3,CHARTER / AIRWAYS BUS USAGE - LET FOR HIRE_under_3,HIRE CAR_under_3,GENERAL PURPOSE PLANT_under_3,PENSIONER CONCESSION_under_3,RENTAL VEHICLE_under_3,TAXI_under_3,PRIMARY PRODUCER CONCESSION - DECLARATION REQUIRED_under_3,DEMONSTRATOR VEHICLE USED BY A LICENSED MOTOR DEALER_under_3,GENERAL PRIVATE_under_3,BUS OPERATED BY THE STATE TRANSIT AUTHORITY_under_3,1964,1971,1972,1974,1976,1980,1981,1982,1983,1984,1985,1986,1987,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,1964_under_3,1971_under_3,1972_under_3,1974_under_3,1976_under_3,1980_under_3,1981_under_3,1982_under_3,1983_under_3,1984_under_3,1985_under_3,1986_under_3,1987_under_3,1990_under_3,1991_under_3,1992_under_3,1993_under_3,1994_under_3,1995_under_3,1996_under_3,1997_under_3,1998_under_3,1999_under_3,2000_under_3,2001_under_3,2002_under_3,2003_under_3,2004_under_3,2005_under_3,2006_under_3,2007_under_3,2008_under_3,2009_under_3,2010_under_3,2011_under_3,2012_under_3,2013_under_3,2014_under_3,2015_under_3,2016_under_3,2017_under_3,2018_under_3,2019_under_3,2020_under_3,2021_under_3,census_quickstats_link
200,,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://quickstats.censusdata.abs.gov.au/census_services/getproduct/census/2016/quickstat/POA200?opendocument
1001,,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://quickstats.censusdata.abs.gov.au/census_services/getproduct/census/2016/quickstat/POA1001?opendocument
1002,,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://quickstats.censusdata.abs.gov.au/census_services/getproduct/census/2016/quickstat/POA1002?opendocument
1003,,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://quickstats.censusdata.abs.gov.au/census_services/getproduct/census/2016/quickstat/POA1003?opendocument
1004,,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://quickstats.censusdata.abs.gov.au/census_services/getproduct/census/2016/quickstat/POA1004?opendocument
1005,,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://quickstats.censusdata.abs.gov.au/census_services/getproduct/census/2016/quickstat/POA1005?opendocument
1006,,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://quickstats.censusdata.abs.gov.au/census_services/getproduct/census/2016/quickstat/POA1006?opendocument
1007,,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://quickstats.censusdata.abs.gov.au/census_services/getproduct/census/2016/quickstat/POA1007?opendocument
1008,,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://quickstats.censusdata.abs.gov.au/census_services/getproduct/census/2016/quickstat/POA1008?opendocument
1009,,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://quickstats.censusdata.abs.gov.au/census_services/getproduct/census/2016/quickstat/POA1009?opendocument
