DateTime,State,Fuel Type,Supply
29/10/2022 0:00,NSW,Battery,362.534
29/10/2022 0:00,NSW,Black coal,627223.514
29/10/2022 0:00,NSW,Gas,13468.075
29/10/2022 0:00,NSW,Hydro,104066.278
29/10/2022 0:00,NSW,Liquid Fuel,67.375
29/10/2022 0:00,NSW,Solar,97524.948
29/10/2022 0:00,NSW,Wind,127769.953
29/10/2022 0:00,QLD,Battery,803.555
29/10/2022 0:00,QLD,Biomass,6963.7
29/10/2022 0:00,QLD,Black coal,736930.026
29/10/2022 0:00,QLD,Gas,82582.127
29/10/2022 0:00,QLD,Hydro,14946.232
29/10/2022 0:00,QLD,Liquid Fuel,0
29/10/2022 0:00,QLD,Solar,105959.5
29/10/2022 0:00,QLD,Wind,44795.597
29/10/2022 0:00,SA,Battery,1527.45
29/10/2022 0:00,SA,Gas,32478.009
29/10/2022 0:00,SA,Liquid Fuel,302.212
29/10/2022 0:00,SA,Solar,15404.284
29/10/2022 0:00,SA,Wind,146313.243
29/10/2022 0:00,TAS,Gas,316.615
29/10/2022 0:00,TAS,Hydro,152798.939
29/10/2022 0:00,TAS,Wind,26008.407
29/10/2022 0:00,VIC,Battery,1559.544
29/10/2022 0:00,VIC,Brown coal,561931.211
29/10/2022 0:00,VIC,Gas,2811.621
29/10/2022 0:00,VIC,Hydro,88892.581
29/10/2022 0:00,VIC,Solar,28349.286
29/10/2022 0:00,VIC,Wind,180084.352
5/11/2022 0:00,NSW,Battery,407.282
5/11/2022 0:00,NSW,Black coal,635772.667
5/11/2022 0:00,NSW,Gas,29622.015
5/11/2022 0:00,NSW,Hydro,69979.011
5/11/2022 0:00,NSW,Liquid Fuel,0
5/11/2022 0:00,NSW,Solar,124974.157
5/11/2022 0:00,NSW,Wind,67921.188
5/11/2022 0:00,QLD,Battery,917.603
5/11/2022 0:00,QLD,Biomass,8308.033
5/11/2022 0:00,QLD,Black coal,714495.804
5/11/2022 0:00,QLD,Gas,75268.188
5/11/2022 0:00,QLD,Hydro,13589.565
5/11/2022 0:00,QLD,Liquid Fuel,0
5/11/2022 0:00,QLD,Solar,118137.817
5/11/2022 0:00,QLD,Wind,49459.885
5/11/2022 0:00,SA,Battery,1476.182
5/11/2022 0:00,SA,Gas,58550.405
5/11/2022 0:00,SA,Liquid Fuel,172.498
5/11/2022 0:00,SA,Solar,17990.351
5/11/2022 0:00,SA,Wind,109329.043
5/11/2022 0:00,TAS,Gas,1485.909
5/11/2022 0:00,TAS,Hydro,145082.855
5/11/2022 0:00,TAS,Wind,22502.706
5/11/2022 0:00,VIC,Battery,1132.996
5/11/2022 0:00,VIC,Brown coal,569565.222
5/11/2022 0:00,VIC,Gas,6194.302
5/11/2022 0:00,VIC,Hydro,66579.669
5/11/2022 0:00,VIC,Solar,31262.005
5/11/2022 0:00,VIC,Wind,160655.142
12/11/2022 0:00,NSW,Battery,471.21
12/11/2022 0:00,NSW,Black coal,621316.766
12/11/2022 0:00,NSW,Gas,11165.094
12/11/2022 0:00,NSW,Hydro,78359.553
12/11/2022 0:00,NSW,Liquid Fuel,0
12/11/2022 0:00,NSW,Solar,109894.88
12/11/2022 0:00,NSW,Wind,110539.658
12/11/2022 0:00,QLD,Battery,1070.554
12/11/2022 0:00,QLD,Biomass,6666.267
12/11/2022 0:00,QLD,Black coal,749121.191
12/11/2022 0:00,QLD,Gas,90298.441
12/11/2022 0:00,QLD,Hydro,16220.343
12/11/2022 0:00,QLD,Liquid Fuel,0
12/11/2022 0:00,QLD,Solar,125770.307
12/11/2022 0:00,QLD,Wind,32933.233
12/11/2022 0:00,SA,Battery,814.339
12/11/2022 0:00,SA,Gas,71986.654
12/11/2022 0:00,SA,Liquid Fuel,501.904
12/11/2022 0:00,SA,Solar,12004.901
12/11/2022 0:00,SA,Wind,113734.75
12/11/2022 0:00,TAS,Gas,1053.541
12/11/2022 0:00,TAS,Hydro,167471.092
12/11/2022 0:00,TAS,Wind,27699.575
12/11/2022 0:00,VIC,Battery,1673.668
12/11/2022 0:00,VIC,Brown coal,516867.421
12/11/2022 0:00,VIC,Gas,2645.692
12/11/2022 0:00,VIC,Hydro,58056.03
12/11/2022 0:00,VIC,Solar,29627.723
12/11/2022 0:00,VIC,Wind,204953.157
19/11/2022 0:00,NSW,Battery,593.636
19/11/2022 0:00,NSW,Black coal,608168.591
19/11/2022 0:00,NSW,Gas,5561.591
19/11/2022 0:00,NSW,Hydro,83004.261
19/11/2022 0:00,NSW,Liquid Fuel,6.733
19/11/2022 0:00,NSW,Solar,123951.404
19/11/2022 0:00,NSW,Wind,142993.922
19/11/2022 0:00,QLD,Battery,981.156
19/11/2022 0:00,QLD,Biomass,7491.2
19/11/2022 0:00,QLD,Black coal,757909.665
19/11/2022 0:00,QLD,Gas,86421.583
19/11/2022 0:00,QLD,Hydro,16198.769
19/11/2022 0:00,QLD,Liquid Fuel,0
19/11/2022 0:00,QLD,Solar,107387.042
19/11/2022 0:00,QLD,Wind,26519.867
19/11/2022 0:00,SA,Battery,1637.381
19/11/2022 0:00,SA,Gas,56812.599
19/11/2022 0:00,SA,Liquid Fuel,1238.885
19/11/2022 0:00,SA,Solar,14397.924
19/11/2022 0:00,SA,Wind,131363.58
19/11/2022 0:00,TAS,Gas,106.419
19/11/2022 0:00,TAS,Hydro,153105.754
19/11/2022 0:00,TAS,Wind,45776.849
19/11/2022 0:00,VIC,Battery,1323.428
19/11/2022 0:00,VIC,Brown coal,451452.055
19/11/2022 0:00,VIC,Gas,10630.352
19/11/2022 0:00,VIC,Hydro,54187.258
19/11/2022 0:00,VIC,Solar,34281.441
19/11/2022 0:00,VIC,Wind,226192.316
26/11/2022 0:00,NSW,Battery,351.235
26/11/2022 0:00,NSW,Black coal,681882.947
26/11/2022 0:00,NSW,Gas,2583.436
26/11/2022 0:00,NSW,Hydro,51571.359
26/11/2022 0:00,NSW,Liquid Fuel,0
26/11/2022 0:00,NSW,Solar,151295.481
26/11/2022 0:00,NSW,Wind,107702.173
26/11/2022 0:00,QLD,Battery,846.676
26/11/2022 0:00,QLD,Biomass,4419.425
26/11/2022 0:00,QLD,Black coal,799964.433
26/11/2022 0:00,QLD,Gas,65996.626
26/11/2022 0:00,QLD,Hydro,14509.191
26/11/2022 0:00,QLD,Liquid Fuel,0
26/11/2022 0:00,QLD,Solar,94117.568
26/11/2022 0:00,QLD,Wind,32483.339
26/11/2022 0:00,SA,Battery,1269.059
26/11/2022 0:00,SA,Gas,34903.099
26/11/2022 0:00,SA,Liquid Fuel,7.332
26/11/2022 0:00,SA,Solar,23297.983
26/11/2022 0:00,SA,Wind,101928.904
26/11/2022 0:00,TAS,Gas,62.864
26/11/2022 0:00,TAS,Hydro,162707.07
26/11/2022 0:00,TAS,Wind,32937.636
26/11/2022 0:00,VIC,Battery,1916.503
26/11/2022 0:00,VIC,Brown coal,511698.06
26/11/2022 0:00,VIC,Gas,10403.544
26/11/2022 0:00,VIC,Hydro,55903.49
26/11/2022 0:00,VIC,Solar,42209.467
26/11/2022 0:00,VIC,Wind,129872.336
3/12/2022 0:00,NSW,Battery,263.439
3/12/2022 0:00,NSW,Black coal,615245.165
3/12/2022 0:00,NSW,Gas,17553.896
3/12/2022 0:00,NSW,Hydro,71430.102
3/12/2022 0:00,NSW,Liquid Fuel,0
3/12/2022 0:00,NSW,Solar,148773.007
3/12/2022 0:00,NSW,Wind,95239.748
3/12/2022 0:00,QLD,Battery,745.546
3/12/2022 0:00,QLD,Biomass,5167.067
3/12/2022 0:00,QLD,Black coal,759392.566
3/12/2022 0:00,QLD,Gas,91571.336
3/12/2022 0:00,QLD,Hydro,12987.183
3/12/2022 0:00,QLD,Liquid Fuel,478.073
3/12/2022 0:00,QLD,Solar,143476.32
3/12/2022 0:00,QLD,Wind,27770.644
3/12/2022 0:00,SA,Battery,1185.454
3/12/2022 0:00,SA,Gas,36616.77
3/12/2022 0:00,SA,Liquid Fuel,54.721
3/12/2022 0:00,SA,Solar,18436.382
3/12/2022 0:00,SA,Wind,140306.54
3/12/2022 0:00,TAS,Gas,120.371
3/12/2022 0:00,TAS,Hydro,126114.972
3/12/2022 0:00,TAS,Wind,30498.336
3/12/2022 0:00,VIC,Battery,1714.378
3/12/2022 0:00,VIC,Brown coal,595601.691
3/12/2022 0:00,VIC,Gas,5703.881
3/12/2022 0:00,VIC,Hydro,30087.615
3/12/2022 0:00,VIC,Solar,39494.478
3/12/2022 0:00,VIC,Wind,191270.495
10/12/2022 0:00,NSW,Battery,321.414
10/12/2022 0:00,NSW,Black coal,595242.503
10/12/2022 0:00,NSW,Gas,1745.69
10/12/2022 0:00,NSW,Hydro,68521.844
10/12/2022 0:00,NSW,Liquid Fuel,10.267
10/12/2022 0:00,NSW,Solar,144219.441
10/12/2022 0:00,NSW,Wind,132954.159
10/12/2022 0:00,QLD,Battery,17.141
10/12/2022 0:00,QLD,Biomass,6116.542
10/12/2022 0:00,QLD,Black coal,751864.269
10/12/2022 0:00,QLD,Gas,86531.153
10/12/2022 0:00,QLD,Hydro,14023.709
10/12/2022 0:00,QLD,Liquid Fuel,0
10/12/2022 0:00,QLD,Solar,130111.554
10/12/2022 0:00,QLD,Wind,28079.507
10/12/2022 0:00,SA,Battery,1291.099
10/12/2022 0:00,SA,Gas,17422.924
