DateTime,State,Fuel Type,Supply
02/11/2023 22:50,NSW,Battery,1.24984
02/11/2023 22:50,NSW,Biomass,20.554041
02/11/2023 22:50,NSW,Black coal,5742.43984
02/11/2023 22:50,NSW,Gas,0.13376
02/11/2023 22:50,NSW,Hydro,332.94897
02/11/2023 22:50,NSW,Liquid Fuel,0
02/11/2023 22:50,NSW,Other,22
02/11/2023 22:50,NSW,Solar,0.005056
02/11/2023 22:50,NSW,Wind,1171.225832
02/11/2023 22:50,QLD,Battery,0.92792
02/11/2023 22:50,QLD,Biomass,57.700002
02/11/2023 22:50,QLD,Black coal,5002.76361
02/11/2023 22:50,QLD,Gas,162.196864
02/11/2023 22:50,QLD,Hydro,252.68999
02/11/2023 22:50,QLD,Liquid Fuel,0
02/11/2023 22:50,QLD,Solar,0.49575
02/11/2023 22:50,QLD,Wind,724.47536
02/11/2023 22:50,SA,Battery,6.37
02/11/2023 22:50,SA,Gas,330.02699
02/11/2023 22:50,SA,Liquid Fuel,148.48999
02/11/2023 22:50,SA,Solar,0
02/11/2023 22:50,SA,Wind,704.46582
02/11/2023 22:50,TAS,Gas,0
02/11/2023 22:50,TAS,Hydro,812.310104
02/11/2023 22:50,TAS,Wind,114.229739
02/11/2023 22:50,VIC,Battery,33.639
02/11/2023 22:50,VIC,Brown coal,3379.1924
02/11/2023 22:50,VIC,Gas,44.62
02/11/2023 22:50,VIC,Hydro,602.46002
02/11/2023 22:50,VIC,Solar,0
02/11/2023 22:50,VIC,Wind,1240.700029
