latitude,longitude,Charger type,Name,State,stations,Plug types ,Charging Network,Power (kW),Hardware brand,Address,Postcode
-36.0294725,146.8970729,AC (level 2),Albury Waste Management Centre,NSW,1,Tesla (Type 2),Chargefox,,,"565 Mudge St, Hamilton Valley NSW 2641, Australia",2641
-30.511849,151.6693816,AC (level 2),Armidale Visitors Centre,NSW,1,Tesla (Type 2),NRMA,50,,"82 Marsh St, Armidale NSW 2350, Australia",2350
-33.9066374,151.2132494,AC (level 2),Audi Centre Sydney,NSW,1,Tesla (Type 2),Chargefox,,,"895 S Dowling St, Zetland NSW 2017, Australia",2017
-28.8575428,153.5610963,DC (level 3),Ballina Central Shopping Centre,NSW,2,Both CHAdeMO & CCS Combo 2/SAE,Chargefox,350,,"56 Bangalow Rd, Ballina NSW 2478, Australia",2478
-34.8411176,148.9121914,AC (level 2),Banjo Paterson Park,NSW,1,Type 2,NRMA,50,,"81 Meehan St, Yass NSW 2582, Australia",2582
-35.7085809,150.1756837,AC (level 2),Batemans Bay Visitor Centre,NSW,1,Tesla (Type 2),NRMA,50,,"2A Beach Rd, Batemans Bay NSW 2536, Australia",2536
-33.4186983,149.5867887,AC (level 2),Bathurst Visitor Information Centre,NSW,1,Tesla (Type 2),NRMA,50,Tritium,"1 Kendall Ave, Bathurst NSW 2795, Australia",2795
-34.7760967,150.70099,AC (level 2),Berry Bowling Club,NSW,1,Tesla (Type 2),NRMA,50,,"140 Queen St, Berry NSW 2535, Australia",2535
-32.6540422,151.9629131,AC (level 2),BP Karuah,NSW,2,Tesla (Type 2),Chargefox,50,,"403 Tarean Rd, Karuah NSW 2324, Australia",2324
-28.6433595,153.6156974,AC (level 2),Byron Bay Library,NSW,1,Type 2,EVUp,50,,"28 Lawson St, Byron Bay NSW 2481, Australia",2481
-33.7695689,150.7339002,AC (level 2),Caddens Corner,NSW,1,Type 2,Evie Networks,112.5,,"82a O'Connell St, Kingswood NSW 2747, Australia",2747
-30.7098041,152.9198314,AC (level 2),Caltex Macksville,NSW,2,Tesla (Type 2),Evie Networks,450,,"Pacific Hwy, Macksville NSW 2447, Australia",2447
-35.2774924,147.7358735,DC (level 3),Caltex Tarcutta,NSW,2,Both CHAdeMO & CCS Combo 2/SAE,Evie Networks,450,,"32 Sydney St, Tarcutta NSW 2652, Australia",2652
-36.6733612,149.8432026,AC (level 2),Church St Car Park,NSW,1,Tesla (Type 2),NRMA,50,,"81 Gipps St, Bega NSW 2550, Australia",2550
-30.3178012,153.0899415,AC (level 2),Coffs Harbour,NSW,2,Tesla (Type 2),Chargefox,,,"coffs sevice centre, North Boambee Valley NSW 2450, Australia",2450
-31.278816,149.279312,AC (level 2),Coonabarabran Visitors Centre,NSW,1,Tesla (Type 2),NRMA,50,,"Coonabarabran Coach, Coonabarabran NSW 2357, Australia",2357
-33.8344591,148.6940855,AC (level 2),Cowra Art Gallery Car Park,NSW,1,Tesla (Type 2),NRMA,50,,"77 Darling St, Cowra NSW 2794, Australia",2794
-35.7099345,150.1777589,DC (level 3),Dan Murphy\u2019s Batemans Bay,NSW,1,Both CHAdeMO & CCS Combo 2/SAE,Chargefox,50,,"51 Orient St, Batemans Bay NSW 2536, Australia",2536
-33.9052704,151.2130888,AC (level 2),East Village Shopping Centre,NSW,2,Tesla (Type 2),Chargefox,50,Tritium,"4 Defries Ave, Zetland NSW 2017, Australia",2017
-28.6258093,153.5869648,AC (level 2),Elements of Byron Bay Car Park,NSW,1,Type 2,Chargefox,50,,"144 Bayshore Dr, Byron Bay NSW 2481, Australia",2481
-29.7385773,151.7358401,DC (level 3),Glen Innes Town Hall,NSW,1,Both CHAdeMO & CCS Combo 2/SAE,NRMA,50,,"265 Grey St, Glen Innes NSW 2370, Australia",2370
-34.7479625,149.7496447,AC (level 2),Goulburn Gateway Service Station,NSW,2,Tesla (Type 2),Chargefox,,,"53 Sydney Rd, Goulburn NSW 2580, Australia",2580
-29.6882866,152.9334258,DC (level 3),Grafton Library Car Park,NSW,1,Both CHAdeMO & CCS Combo 2/SAE,NRMA,50,,"126-144 Pound St, Grafton NSW 2460, Australia",2460
-31.0904667,150.9273942,AC (level 2),Hands of Fame Park,NSW,1,Tesla (Type 2),NRMA,50,,"2 Kable Ave, Tamworth NSW 2340, Australia",2340
-32.7740327,151.2955771,AC (level 2),Hunter Valley Gardens Carpark,NSW,2,Tesla (Type 2),NRMA,50,,"2090 Broke Rd, Pokolbin NSW 2320, Australia",2320
-34.4007439,150.8982098,AC (level 2),Innovation Campus - SBRC (Building 237),NSW,1,Tesla (Type 2),ChargePoint,50,,"Innovation Way, North Wollongong NSW 2500, Australia",2500
-34.8237247,148.3247877,AC (level 2),Jugiong Playground and Swimming Pool,NSW,1,Tesla (Type 2),NRMA,50,,"319 Riverside Dr, Jugiong NSW 2726, Australia",2726
-32.0499784,150.8672054,AC (level 2),Kelly St Car Park,NSW,1,Tesla (Type 2),NRMA,50,,"167 Kelly St, Scone NSW 2337, Australia",2337
-33.4777272,150.1609403,AC (level 2),Lithgow Workies Club,NSW,2,Type 2,NRMA,50,,"3-7 Tank St, Lithgow NSW 2790, Australia",2790
-30.9781149,150.2509491,AC (level 2),Little Barber St Parking Lot,NSW,1,Tesla (Type 2),NRMA,50,,"73 Little Barber St, Gunnedah NSW 2380, Australia",2380
-34.3117962,148.2949118,DC (level 3),Lovell St Car Park,NSW,1,Both CHAdeMO & CCS Combo 2/SAE,NRMA,50,,"88 Lovell St, Young NSW 2594, Australia",2594
-35.3558361,145.7278158,AC (level 2),Luke Park,NSW,1,Tesla (Type 2),NRMA,50,,"33 Powell St, Jerilderie NSW 2716, Australia",2716
-33.8961195,151.1951555,AC (level 2),Mirvac South Eveleigh,NSW,2,Type 2,Chargefox,50,,"2 Central Ave, Eveleigh NSW 2015, Australia",2015
-34.450216,150.4430868,AC (level 2),Mittagong RSL Car Park,NSW,1,Tesla (Type 2),NRMA,50,,"9 Bessemer St, Mittagong NSW 2575, Australia",2575
-33.8255979,151.2413993,AC (level 2),Mosman Council,NSW,1,Type 2,Evie Networks,112.5,,"6 Myahgah Rd, Mosman NSW 2088, Australia",2088
-32.0993292,152.3811552,DC (level 3),Nabiac Park,NSW,1,Tesla (Supercharger),NRMA,50,,"35 Nabiac St, Nabiac NSW 2312, Australia",2312
-34.7466273,146.5501803,DC (level 3),Narrandera Park,NSW,1,Both CHAdeMO & CCS Combo 2/SAE,NRMA,50,,"31 Twynam St, Narrandera NSW 2700, Australia",2700
-32.9334094,151.7585158,AC (level 2),No. 2 Sportsground,NSW,1,J-1772,Chargefox,50,,"Smith St, Newcastle West NSW 2302, Australia",2302
-32.5930036,149.5853108,AC (level 2),NRMA - Club Mudgee Car Park,NSW,1,Type 2,NRMA,50,,"99 Mortimer St, Mudgee NSW 2850, Australia",2850
-34.6400407,143.5641766,AC (level 2),NRMA Balranald,NSW,1,J-1772,NRMA,50,,"89 Market St, Balranald NSW 2715, Australia",2715
-34.5089694,144.8428368,AC (level 2),NRMA Hay,NSW,1,Tesla (Type 2),NRMA,50,,"406 Moppett St, Hay NSW 2711, Australia",2711
-35.0023469,148.1102089,AC (level 2),Oliver's Gundagai,NSW,2,Tesla (Type 2),Chargefox,50,,"31 Annie Pyers Dr, Gundagai NSW 2722, Australia",2722
-33.2817348,149.1034134,AC (level 2),Orange Civic Centre Car Park,NSW,1,Tesla (Type 2),NRMA,50,,"151a Byng St, Orange NSW 2800, Australia",2800
-33.1371457,148.172794,AC (level 2),Parkes Swimming Pool,NSW,1,Type 2,NRMA,50,,"27 Dalton St, Parkes NSW 2870, Australia",2870
-31.4635754,152.8220345,AC (level 2),Port Macquarie Service Centre,NSW,2,Tesla (Type 2),Chargefox,50,,"1063 Oxley Hwy, Thrumster NSW 2444, Australia",2444
-36.0837322,146.9143513,AC (level 2),Rotary Kiewa St Market,NSW,1,Tesla (Type 2),NRMA,50,,"Level 2/441 Kiewa St, Albury NSW 2640, Australia",2640
-33.9238926,147.2037618,AC (level 2),Shire St Parking/Charging,NSW,1,Tesla (Type 2),NRMA,50,,"13-15 Shire St, West Wyalong NSW 2671, Australia",2671
-36.2188263,149.1335079,AC (level 2),Snowy Hydro Discovery Centre,NSW,2,Tesla (Type 2),Chargefox,350,,"4-10 Yulin Ave, Cooma NSW 2630, Australia",2630
-36.4155977,148.6221625,DC (level 3),Snowy River Ave Car Park,NSW,2,Both CHAdeMO & CCS Combo 2/SAE,NRMA,50,,"3 Snowy River Ave, Jindabyne NSW 2627, Australia",2627
-31.458288,152.828369,DC (level 3),Sovereign Place,NSW,2,Tesla (Supercharger),NRMA,50,,"John Oxley Dr before Chancellor Dr, Thrumster NSW 2444, Australia",2444
-35.7175754,147.3176258,AC (level 2),Submarine Park,NSW,1,Tesla (Type 2),NRMA,50,,"7 Prospect St, Holbrook NSW 2644, Australia",2644
-33.8458628,151.0696945,AC (level 2),Sydney Olympic Park,NSW,1,Tesla (Type 2),NRMA,50,Tesla,"9 Murray Rose Ave, Sydney Olympic Park NSW 2127, Australia",2127
-31.9435087,152.4708761,AC (level 2),Taree South Service Centre,NSW,2,Tesla (Type 2),Evie Networks,450,,"201 Manning River Dr, Glenthorne NSW 2430, Australia",2430
-29.0571876,152.0186766,AC (level 2),Tenterfield Visitors Information Centre,NSW,1,Tesla (Type 2),NRMA,50,,"157 Rouse St, Tenterfield NSW 2372, Australia",2372
-28.6357744,153.5553165,AC (level 2),The Farm Byron Bay,NSW,2,J-1772,NRMA,50,,"Flowerdale Farm, 11 Ewingsdale Rd, Ewingsdale NSW 2481, Australia",2481
-35.1053553,147.373681,AC (level 2),Wagga Wagga Cross St Car Park,NSW,1,Tesla (Type 2),NRMA,50,,"Wagga Wagga NSW 2650, Australia",2650
